Id,Label,NT2026 (FAFB and BANC),layer_mean[z],Across-hemi_layer_mean
720575940634606693,B1-7,Ach,2.208333333,3.024906517
720575940619034806,B1-7,Ach,3.516025641,
720575940611988391,B1-7,Ach,2.746794872,
720575940613422860,B1-7,Ach,3.150641026,
720575940608035374,B1-7,Ach,2.637820513,
720575940626798101,B1-7,Ach,4.782051282,
720575940659098241,B1-7,Ach,4.025641026,
720575940603195494,B1-7,Ach,4.141025641,
720575940630028359,B1-7,Ach,2.451923077,
720575940634701407,B1-7,Ach,2.487179487,
720575940622004106,B1-7,Ach,2.358974359,
720575940615226086,B1-7,Ach,2.756410256,
720575940632084705,B1-7,Ach,2.519230769,
720575940622778820,B1-7,Ach,2.269230769,
720575940624795017,B1-u,Ach,3.201923077,3.557692308
720575940609648395,B1-u,Ach,2.5,
720575940627235386,B1-u,Ach,2.381410256,
720575940624878602,B1-u,Ach,6.506410256,
720575940615408059,B1-u,Ach,4.092948718,
720575940621815766,B1-u,Ach,6.032051282,
720575940622168088,B1-u,Ach,4.240384615,
720575940624109464,B1-u,Ach,3.705128205,
720575940632122464,B1-u,Ach,4.586538462,
720575940634915576,B1-u,Ach,4.448717949,
720575940623873829,B1-u,Ach,5.621794872,
720575940644345652,B1-u,Ach,4.439102564,
720575940635054072,B1-u,Ach,4.189102564,
720575940637687605,B1-u,Ach,3.349358974,
720575940624872179,B1-u,Ach,2.185897436,
720575940618524481,B1-u,Ach,2.272435897,
720575940639696755,B1-u,Ach,4.576923077,
720575940603616800,B1-u,Ach,4.185897436,
720575940624245946,B1-u,Ach,4.141025641,
720575940623735482,B1-u,Ach,4.391025641,
720575940621575774,B1-u,Ach,4.477564103,
720575940610638434,B1-u,Ach,2.230769231,
720575940624700138,B2,GABA,2.727564103,2.444978632
720575940620012253,B2,GABA,2.644230769,
720575940611597298,B2,GABA,2.634615385,
720575940625984528,B2,GABA,2.150641026,
720575940629065154,B2,GABA,2.21474359,
720575940613311151,B2,GABA,2.298076923,
720575940632499757,GF,Inconclusive,3.467948718,3.323717949
720575940622838154,GF,Inconclusive,3.179487179,
720575940641359776,WED-VLP-1,Ach,3.262820513,3.255681818
720575940609927141,WED-VLP-1,Ach,3.134615385,
720575940618833840,WED-VLP-1,Ach,3.314102564,
720575940620392984,WED-VLP-1,Ach,3.259615385,
720575940621308341,WED-VLP-1,Ach,3.272435897,
720575940625989904,WED-VLP-1,Ach,3.253205128,
720575940616611382,WED-VLP-1,Ach,3.176282051,
720575940619785566,WED-VLP-1,Ach,3.041666667,
720575940619784453,WED-VLP-1,Ach,3.310897436,
720575940631922969,WED-VLP-1,Ach,3.054487179,
720575940623304906,WED-VLP-1,Ach,3.448717949,
720575940619249031,WED-VLP-1,Ach,3.272435897,
720575940649911286,WED-VLP-1,Ach,3.256410256,
720575940623787495,WED-VLP-1,Ach,3.336538462,
720575940627174247,WED-VLP-1,Ach,3.310897436,
720575940629954724,WED-VLP-1,Ach,3.272435897,
720575940641400224,WED-VLP-1,Ach,3.246794872,
720575940623547685,WED-VLP-1,Ach,3.137820513,
720575940603186790,WED-VLP-1,Ach,3.314102564,
720575940621447077,WED-VLP-1,Ach,3.224358974,
720575940622969528,WED-VLP-1,Ach,3.378205128,
720575940632157631,WED-VLP-1,Ach,3.346153846,
720575940627350060,WED-VLP-2,Ach,3.669871795,3.481730769
720575940632649567,WED-VLP-2,Ach,3.448717949,
720575940622609678,WED-VLP-2,Ach,3.647435897,
720575940617117656,WED-VLP-2,Ach,3.637820513,
720575940609927653,WED-VLP-2,Ach,3.560897436,
720575940634126949,WED-VLP-2,Ach,3.333333333,
720575940634126478,WED-VLP-2,Ach,3.346153846,
720575940622699196,WED-VLP-2,Ach,3.336538462,
720575940613943413,WED-VLP-2,Ach,3.413461538,
720575940630744019,WED-VLP-2,Ach,3.423076923,
720575940623322877,WV-WV-1,GABA,3.176282051,2.711538462
720575940622123981,WV-WV-1,GABA,2.326923077,
720575940635330204,WV-WV-1,GABA,2.631410256,
720575940605095346,WV-WV-2,GABA,3.544871795,3.419337607
720575940634571383,WV-WV-2,GABA,3.5,
720575940620835327,WV-WV-2,GABA,3.724358974,
720575940625345328,WV-WV-2,GABA,2.996794872,
720575940621148660,WV-WV-2,GABA,3.394230769,
720575940618342966,WV-WV-2,GABA,3.355769231,
720575940639811469,WV-WV-3,GABA,2.78525641,2.675824176
